,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_district_cooling,total_district_heating,SWH_production,PV_production,wind_production,occupants
7485,1998,11,8,22,8.0,-14969601.606233915,-34284826.56309622,693873653.7600001,0.0,5307671344.305958,2092580893.3768618,1388549283.8400002,6721994419.199999,9885660960.146086,4453518497.271244,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4453518497.271244,10677571055.564487,0.0,0.0,0.0,806.3873684210527
7486,1998,11,8,23,8.0,-14969601.606233915,-34284826.56309622,693873653.7600001,0.0,5335429942.486512,2071977544.708006,1370899077.12,6633743385.6,9918292202.126741,4409663259.803844,791910095.4184026,130457878.0830862,274669943.8695298,8409770284.672616,4409663259.803844,10710202297.545143,0.0,0.0,0.0,806.3873684210527
7487,1998,11,8,24,8.0,-22454402.409350865,-51427239.84464432,693873653.7600001,0.0,5338551149.903567,2069975323.5446482,1370899077.12,6633743385.6,9922151221.164011,4405401445.525158,791910095.4184026,130457878.0830862,274669943.8695298,8409770284.672616,4405401445.525158,10714061316.582413,0.0,0.0,0.0,806.3873684210527
7488,1998,11,9,1,7.0,-21894519.5102581,-50144941.98555867,693873653.7600001,0.0,5962170945.827834,2054572056.7809534,1388549283.8400002,6721994419.199999,10925641995.33095,4372595178.462492,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4372595178.462492,11717552090.749352,0.0,0.0,0.0,806.3873684210527
7489,1998,11,9,2,8.0,-29939203.21246783,-68569653.12619244,693873653.7600001,0.0,5322489104.7751045,2083631757.5254798,1388549283.8400002,6721994419.199999,9904321614.128038,4434468520.989774,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4434468520.989774,10696231709.54644,0.0,0.0,0.0,806.3873684210527
7490,1998,11,9,3,7.0,-29192692.680344142,-66859922.647411555,693873653.7600001,0.0,5969313303.7465,2050845835.9878893,1388549283.8400002,6721994419.199999,10934991734.317133,4364663044.15889,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4364663044.15889,11726901829.735535,0.0,0.0,0.0,806.3873684210527
7491,1998,11,9,4,7.0,-29192692.680344142,-66859922.647411555,693873653.7600001,0.0,5973855910.998069,2047926135.9803631,1388549283.8400002,6721994419.199999,10940607675.994442,4358447357.979293,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4358447357.979293,11732517771.412844,0.0,0.0,0.0,806.3873684210527
7492,1998,11,9,5,7.0,-29192692.680344142,-66859922.647411555,693873653.7600001,0.0,5978298399.209335,2045685924.3836465,1388549283.8400002,6721994419.199999,10946470639.568377,4353678295.830989,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4353678295.830989,11738380734.986778,0.0,0.0,0.0,806.3873684210527
7493,1998,11,9,6,7.0,-29192692.680344142,-66859922.647411555,693873653.7600001,0.0,5958824176.437497,2062046377.9836037,1406199490.56,6810245452.8,10924732597.626812,4388501292.001379,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,4388501292.001379,11716642693.045214,0.0,0.0,0.0,806.3873684210527
7494,1998,11,9,7,4.0,-62602272.97307158,-143377768.34645754,693873653.7600001,0.0,7733997506.257303,2085686212.9818115,1494450524.1599998,7251500620.800001,13822011465.099249,4438761890.887752,1108674133.5857637,130457878.0830862,274669943.8695298,9151078966.912617,4438761890.887752,14930685598.685013,0.0,0.0,0.0,1128.9423157894737
